title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type
Every Day Is Christmas,TV-PG,85,5.9,,"Drama, Fantasy, Romance",2018,"Ruthless businesswoman Alexis is visited by her deceased mother in a reimagining of ""A Christmas Carol"".",David Weaver,"Toni Braxton, Gloria Reuben, Michael Jai White, Andrew Airlie, ",514,,"https://m.media-amazon.com/images/M/MV5BNTc5NGE3ZTYtMzcwNy00ZjI1LTk1YTEtNzY5MWJjYzljMTNjXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
Christmas with Tucker,Not Rated,87,6.7,,"Drama, Family",2013,A young boy learns to be a man after the death of his father and forms a special bond with a dog.,Larry A. McLean,"James Brolin, Gage Munroe, Barbara Gordon, Ron Lea, ",648,,"https://m.media-amazon.com/images/M/MV5BMTc1NTk5ODI0NV5BMl5BanBnXkFtZTgwODI4MDYyOTE@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
The Christmas Listing,TV-PG,84,5.2,,"Drama, Romance",2020,Two realtors compete for the same listing and have to spend time together at an Inn during Christmas.,Elizabeth Snoderly,"Lexi Giovagnoli, Travis Burns, Greg Evigan, Rachel O'Connell, ",548,,"https://m.media-amazon.com/images/M/MV5BMzllMTJjOTgtMWM5Mi00NTQzLWIwMjUtYmY4MmUxYjVlZTk0XkEyXkFqcGdeQXVyMjc2MDE1MzQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Undercover Christmas,,87,6.3,,"Comedy, Drama, Romance",2003,An FBI agent is assigned as the protective custodian of a straight-talking cocktail waitress after she agrees to testify against her tax cheat boyfriend.,Nadia Tass,"Jami Gertz, Shawn Christian, Tyne Daly, Winston Rekert, ",969,,"https://m.media-amazon.com/images/M/MV5BYzI3NzU5NmEtZWZmNC00YTQwLWE0YTEtMDY4MzI4Yzk4ZjEzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
My Christmas Dream,TV-G,82,6.2,,"Comedy, Romance",2016,"An ambitious store manager of a renowned retail flagship store must enlist the help of a struggling, single-father handyman to help her realize her dream of managing the company's first international store.",James Head,"Danica McKellar, David Haydn-Jones, Christine Lee, Deidre Hall, ","2,024",,"https://m.media-amazon.com/images/M/MV5BYjQxMWExYjAtOThmNC00MTE2LTg4OTMtZGNiNTdkMWYyNGJlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Catch a Christmas Star,TV-G,84,6.2,,"Comedy, Drama, Family",2013,"With the help of his two precocious kids, a widower reconnects with his high school sweetheart, who just happens to be one of the biggest pop stars on the planet.",John Bradshaw,"Shannon Elizabeth, Steve Byers, Julia Lalonde, Kyle Breitkopf, ","1,797",,"https://m.media-amazon.com/images/M/MV5BZjU2OGQ1M2UtYTk3YS00ZDU2LWFlMzItNjNhODlhZWE3YWQ0XkEyXkFqcGdeQXVyNjU2NTIzNDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Snow 2: Brain Freeze,TV-PG,84,6.0,,"Action, Adventure, Family",2008,"It's three days before Christmas, and Nick Snowden forgets about spending early Christmas with his wife, Sandy due to pressure at work. After a fight, Nick walks through a magical mirror ...                See full summary »",Mark Rosman,"Tom Cavanagh, Ashley Williams, Lynley Hall, Janelle Cooper, ","1,103",,"https://m.media-amazon.com/images/M/MV5BNGJiNzk5YzAtNjhhZC00NzA1LWE4N2ItNzFhZDQ5Y2FiZjYzXkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
Best Christmas Party Ever,TV-G,84,6.3,,"Comedy, Drama, Romance",2014,A party planner is tasked with mentoring her boss's nephew who is set to take over the business.,John Bradshaw,"Torrey DeVitto, Steve Lund, Linda Thorson, Kalinka Petrie, ","1,974",,"https://m.media-amazon.com/images/M/MV5BZWUwOWJmOGItZmY1Zi00ZDliLTlhNjgtMzdhYzRhNmE2NGIwXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
By the Light of the Silvery Moon,Approved,101,7.0,,"Comedy, Family, Musical",1953,"Marjorie Winfield's engagement to Bill Sherman, who has just arrived home from fighting in World War I, serves as the backdrop for the trials and tribulations of her family.",David Butler,"Doris Day, Gordon MacRae, Leon Ames, Rosemary DeCamp, ","2,288",,"https://m.media-amazon.com/images/M/MV5BODU2YzRmYjktN2NkYy00M2RhLTgzZjAtNzhmMzdjYzgzMzgxXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Crafty Christmas Romance,TV-PG,84,5.5,,Romance,2020,"Mandy Page, the owner of a used book store, loves Christmas.When she finds a touching letter to Santa stuffed between the pages of an old book recently donated, she decides it would be fun ...                See full summary »",Brian Brough,"Nicola Posener, Brad Johnson, Renny Grames, Wuta Beta, ",539,,"https://m.media-amazon.com/images/M/MV5BNjM1OWQzYWQtOTM4Yy00YjM4LTljODYtY2NmYzZhYmVhZDEwXkEyXkFqcGdeQXVyMjUwOTMwNw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
A Midnight Kiss,TV-G,81,6.0,,Romance,2018,A brother and sister prepare to take over the family party-planning business.,J.B. Sugar,"Adelaide Kane, Carlos PenaVega, Pauline Egan, Jason Cermak, ",841,,"https://m.media-amazon.com/images/M/MV5BYTk1ZTQ3NTYtN2Y3Zi00NmNlLTkyYmItZWRkMjhlMzk3NzY4XkEyXkFqcGdeQXVyNTI5NDA4OTI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
The Christmas Hope,TV-PG,90,6.5,,Drama,2009,"When lives intertwine during Christmas, hope is the only unifying gift. After suffering a personal tragedy, a social worker throws herself into finding homes for children in need.",Norma Bailey,"Madeleine Stowe, James Remar, Ian Ziering, Tori Barban, ",810,,"https://m.media-amazon.com/images/M/MV5BMjA1OTQzMTkxOV5BMl5BanBnXkFtZTcwMjg1NzI5Mw@@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
Christmas with a Crown,,89,5.4,,Romance,2020,"When a successful woman returns to her hometown to revive her family's Christmas festival, she meets a dashing stranger who's volunteered to help organize the event. Sparks begin to fly ...                See full summary »",Dylan Pearce,"Lisa Durupt, Marcus Rosner, Teryl Rothery, Michael Lazarovitch, ","1,122",,"https://m.media-amazon.com/images/M/MV5BM2FmYjllY2YtYjIyOC00OGNhLTkzNmQtM2M5MWFjNDBkZGZlXkEyXkFqcGdeQXVyMTE4NTI5NTA@._V1_UY209_CR11,0,140,209_AL_.jpg",Movie
Christmas a la Mode,TV-PG,87,6.4,,"Drama, Romance",2019,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,John Stimpson,"Katie Leclerc, Ryan Cooper, Jennifer Ellis, Kathy Harum, ","1,000",,"https://m.media-amazon.com/images/M/MV5BNjI3ZGVlNWMtNjliMS00OTk4LWFkNDQtMzhiMjM4OTIyZmNmXkEyXkFqcGdeQXVyNDI3NjA5MTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
A Dog for Christmas,Not Rated,89,5.8,,"Comedy, Family",2015,Cute Holiday movie about a girl and her dog. Bringing holiday cheer to the entire family.,Chris Nickin,"Joel Paul Reisig, Dean Cain, Richard Karn, Dustin Diamond, Glenn Alverson, ",934,,"https://m.media-amazon.com/images/M/MV5BZjQ3YjIwOTYtZWJjOC00OTQ1LWEyMmItZDRiZDhkYjIzNGY3XkEyXkFqcGdeQXVyODg3MzY5MjE@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
Forgotten Christmas,,70,5.9,,"Drama, Family, Fantasy",2019,"The story of a tiny village like any other, except that these villagers tend to be so forgetful, over and over. This year they are forgetting that it's time for Christmas.",Andrea Eckerbom,"Miriam Kolstad Strand, Trond Espen Seim, Anders Baasmo, Christian Skolmen, ",382,,"https://m.media-amazon.com/images/M/MV5BZTY3NzE0MzQtZTRiOS00NzVhLWI3MzYtNjRlYjlhY2VhNTc0XkEyXkFqcGdeQXVyNjA2ODM3MA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
"Christmas, Again",Not Rated,80,6.6,79,"Drama, Romance",2014,"A heartbroken Christmas-tree salesman returns to New York City hoping to put his past behind him. Living in a trailer and working the night shift, he begins to spiral downwards until the ...                See full summary »",Charles Poekel,"Kentucker Audley, Jason Shelton, Oona Roche, David Gauld, ","1,128",,"https://m.media-amazon.com/images/M/MV5BNjU4MWNjOTMtOTQ0NS00MWVhLWI4MmYtNzFhOWIwMDI4NjBjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Welcome to the Christmas Family Reunion,,86,5.1,,"Comedy, Drama, Music",2021,An event designer is hired by famous pop star to plan a large family reunion.,Jake Helgren,"Michelle Argyris, Alonzo B. Slater, Asia'h Epperson, Vanessa Williams, ",267,,"https://m.media-amazon.com/images/M/MV5BYmQwN2MxYmQtZmUyZi00NjY0LWEwMzctNWQ4ZjFlZWEzYTg2XkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
Romance at Reindeer Lodge,TV-G,90,6.4,,"Drama, Romance",2017,"Molly and Jared have sworn-off partaking in holiday activities, but find themselves at a Christmas themed-ranch with no flights available to leave.",Colin Theys,"Nicky Whelan, Josh Kelly, Nichole Galicia, Michael Cognata, ","1,494",,"https://m.media-amazon.com/images/M/MV5BNzdkOWZkZTEtN2JiNS00MGM0LTk2YzEtZDY4NGIzMDBmNDNkXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Love Affair,Approved,88,7.3,91,"Comedy, Drama, Romance",1939,A French playboy and an American former nightclub singer fall in love aboard a ship.,Leo McCarey,"Irene Dunne, Charles Boyer, Maria Ouspenskaya, Lee Bowman, ","5,794",,"https://m.media-amazon.com/images/M/MV5BZGE5NmQ2OWUtZmE5Ny00MThhLTkxMTEtZDJkNDcyYTM4Yjk3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
My Favorite Christmas Melody,TV-PG,87,5.4,,"Comedy, Romance",2021,"Follows Abby, a promising singer-songwriter, as she rediscovers her voice and goes after her dreams, and lets the possibility of love in too.",Michael Kennedy,"Mya, Rainbow Sun Francks, Shakura S'Aida, Carson Reaume, ",214,,"https://m.media-amazon.com/images/M/MV5BNGUwN2ZiZGQtZGExMS00OWMwLTk0YTAtNjZlNjRiMjRkZTIzXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Kristin's Christmas Past,TV-PG,86,6.2,,"Comedy, Family, Fantasy",2013,"Given the opportunity to visit her estranged family on Christmas Eve 1996, Kristin Cartwright hopes to change her past in order to improve her current life in 2013.",Jim Fall,"Shiri Appleby, Will Kemp, Courtney Henggeler, Esperanza América, ","1,212",,"https://m.media-amazon.com/images/M/MV5BNjMyMDQyNTczOV5BMl5BanBnXkFtZTgwNzg4ODE3MDE@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
My Sweet Holiday,,84,5.4,,"Drama, Romance",2020,"Sadie returns home for Christmas after her boyfriend cancels their Holiday plans, only to find out her parents have sold the family business. Begrudgingly Sadie agrees to teach the new ...                See full summary »",Sandra L. Martin,"Malone Thomas, Jason Burkey, Remi Hilson, George Cron, ",554,,"https://m.media-amazon.com/images/M/MV5BYTM4MTE0NWYtYjQyZi00MzczLThhMGYtZGMwZmM1OWEyOWYzXkEyXkFqcGdeQXVyNTQ2ODM5Mjk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas Truce,PG-13,88,5.5,,Drama,2015,"An American soldier and a Belgian woman fall in love during a brief holiday truce amid the Battle of the Bulge. When fighting resumes, they promise to reunite on the first Christmas after the war ends if they're both alive.",Brian Skiba,"Craig Olejnik, Ali Liebert, Kate Vernon, Josh Blacker, ",478,,"https://m.media-amazon.com/images/M/MV5BYTIzZmQ0MWYtOWQ0ZS00ZWM3LWI2NTYtZjI2NGRhZjYwNTYyXkEyXkFqcGdeQXVyMzQwOTg1OTQ@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
Memories of Christmas,TV-G,120,6.1,,"Drama, Romance",2018,"At Christmastime, a young businesswoman travels to her childhood home with the intention of selling it, but instead finds a renewed love for the holidays.",Tibor Takács,"Christina Milian, Mark Taylor, Jaime M. Callica, Garry Chalk, ",719,,"https://m.media-amazon.com/images/M/MV5BMTRjZTJkOWEtMjk0Yy00OTM2LTk5YmUtYjM4MzNhOGMwOWIxXkEyXkFqcGdeQXVyMjQ3NTEwMzE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas at the Chateau,TV-PG,98,3.7,,"Comedy, Drama, Romance",2019,"How will 3 sisters save the Shakespeare Chateau, historic mansion and beloved family home, from a corrupt bank that threatens to foreclose on Christmas Day?",Jason Hudson,"Kinsey Leigh Redmond, Justen Jones, Jeffrey Staab, Sarah McGuire, ",305,,"https://m.media-amazon.com/images/M/MV5BNWM3MmY4MWItZTU3My00NjBhLTg3Y2QtZjk5ZGQ5MGIyMGM1XkEyXkFqcGdeQXVyMTUzMDQ3NTE@._V1_UY209_CR11,0,140,209_AL_.jpg",Movie
The Truth About Christmas,TV-14,90,5.6,,"Comedy, Drama, Romance",2018,"Jillian, a spin doctor for her councilman boyfriend, George, is not above lying to a little girl to achieve her goals, especially as she's about to meet George's family, so Santa decides to teach her a lesson.",Jay Karas,"Kali Hawk, Damon Dayoub, Ali Ghandour, Michela Cannon, ",598,,"https://m.media-amazon.com/images/M/MV5BZDQ1ZDg2YjktYWI4Ny00Y2Y4LWI1MjEtODI4NDU5MTFmYzBjXkEyXkFqcGdeQXVyNTgzNDAyODA@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Miracle on Christmas Lake,Not Rated,110,4.4,,"Family, Mystery, Sport",2016,"After the loss of his best friend on Christmas Eve, Bobby goes out onto the lake and makes a shocking discovery. When the land is bought, Bobby must rally the town to save it.",John Kissack,"Kristian Wang, Anne Hawthorne, Jayson Therrien, Siobhan Williams, ",266,,"https://m.media-amazon.com/images/M/MV5BZDQxODY1YjUtMjcyNC00Zjg3LTllNTMtZTQyY2ZhZThhNTk5XkEyXkFqcGdeQXVyMDc3ODUxNg@@._V1_UY209_CR11,0,140,209_AL_.jpg",Movie
Holiday Heist,TV-PG,87,5.6,,"Crime, Drama, Romance",2019,A man released from prison is torn between a life of crime and a fresh start with a woman he meets while scoping out a potential heist,Roger M. Bobb,"Chaley Rose, Tobias Truvillion, Phillip Edward Van Lear, Lucien Cambric, ",144,,"https://m.media-amazon.com/images/M/MV5BZTc1YWQ3Y2ItMDVmYi00YTE1LThlMTItMGE0OGQ1MzcwMzBjXkEyXkFqcGdeQXVyNTc4ODE0MDU@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Dear Secret Santa,PG,88,6.1,,"Comedy, Family, Romance",2013,"Jennifer begins exchanging letters with a secret admirer from her past. Now that she has a second chance at love, will she be able to take it?",Peter Sullivan,"Tatyana Ali, Bill Cobbs, Jordin Sparks, Ernie Hudson, ",763,,"https://m.media-amazon.com/images/M/MV5BMTg4Njk3MTI4Ml5BMl5BanBnXkFtZTgwNDA5NjMzMTE@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Christmas Hotel,TV-G,88,6.0,,"Comedy, Drama, Romance",2019,"A big city hotel manager learns that her hopes for a promotion are based on a return to her hometown to restructure a local establishment, which the townspeople are less than thrilled about.",Marla Sokoloff,"Tatyana Ali, Sean Patrick Thomas, Sheryl Lee Ralph, Erika Walter, ",467,,"https://m.media-amazon.com/images/M/MV5BNTJhNDEzNDUtNWEzZS00NzRlLTliMjMtNzQ5MmY1OThkOTUzXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Young at Heart,Approved,117,6.7,,"Drama, Musical, Romance",1954,The lives and romances of three sisters in a musical family; the youngest daughter's life is complicated by the subsequent arrival of a charming composer and a cynical music arranger.,Gordon Douglas,"Frank Sinatra, Doris Day, Gig Young, Ethel Barrymore, ","2,598",,"https://m.media-amazon.com/images/M/MV5BZDliMDAyODgtMDFjMy00MjYzLThiZGEtMzhkYjczN2NiYmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Letters to Santa,,110,7.2,,"Comedy, Romance",2011,A romantic comedy set on Christmas Eve in Warsaw and centered around a series of characters.,Mitja Okorn,"Maciej Stuhr, Roma Gasiorowska, Tomasz Karolak, Agnieszka Dygant, ","4,581",,"https://m.media-amazon.com/images/M/MV5BMTkwMjg3NjE5OV5BMl5BanBnXkFtZTcwNTcxNDg4OA@@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie
I'm Not Ready for Christmas,TV-G,84,6.0,,"Comedy, Drama, Family",2015,"Holly's world is turned upside down when her niece's wish to Santa Claus comes true and she cannot tell a lie. As her career and love life go into disarray, she must learn to judge between the truth and what is right.",Sam Irvin,"Alicia Witt, George Stults, Brigid Brannagh, Mia Bagley, ","2,045",,"https://m.media-amazon.com/images/M/MV5BMjI3NzUwMzI4OV5BMl5BanBnXkFtZTgwNjIwMTQ2ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Christmas Eve,Passed,90,5.7,,"Comedy, Drama",1947,"To save her fortune from a designing nephew, Matilda Reed must locate her three long-lost adopted sons in time for a Christmas Eve reunion.",Edwin L. Marin,"George Raft, George Brent, Randolph Scott, Joan Blondell, ",768,,"https://m.media-amazon.com/images/M/MV5BMDdiYTQxMWUtZjQ5MS00ZWFlLTk2MDItNDdjOWI3NzcxM2Q4XkEyXkFqcGdeQXVyMTI2OTM0NzQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
If You Believe,TV-PG,91,6.3,,"Comedy, Drama, Fantasy",1999,"A jaded book editor has nearly given up on happiness, until she bumps her head and gets a visit from her spunky younger self (Hayden Panettiere). Now, the cheerful, carefree seven-year old helps adult Susan rediscover her inner child.",Alan Metzger,"Ally Walker, Tom Amandes, Hayden Panettiere, Meredith McGeachie, ",770,,"https://m.media-amazon.com/images/M/MV5BMTA3NTg5MjQ3MjBeQTJeQWpwZ15BbWU3MDE3Mzg0MjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Christmas Arrangement,TV-14,90,5.4,,"Comedy, Romance",2018,"A flower shop owner enters the local Holiday Floral Show in an effort to win a cash prize to help keep her struggling business afloat, but she starts to fall for one of her direct competitors.",Jake Helgren,"Nicky Whelan, Miles Fisher, Daphne Zuniga, Julie McNiven, ",556,,"https://m.media-amazon.com/images/M/MV5BNDQxNzYwNmUtNTJjMy00Y2ZlLWIyY2MtZjMwZjhkOTEyOTEzXkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UY209_CR11,0,140,209_AL_.jpg",Movie
Christmas All Over Again,PG,78,3.8,,"Comedy, Family",2016,"A mischievous, swag-obsessed boy must overcome his inner Scrooge, or remain caught in a cycle where everyday is a Christmas without presents.",Christy Carlson Romano,"Sean Ryan Fox, Armani Jackson, Christy Carlson Romano, Amber Frank, ",289,,"https://m.media-amazon.com/images/M/MV5BZWJkN2YyOTktYjQ2NC00NDZmLWI1NTEtOWY1MmU3MGNjMTAwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MTI0MDc@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Soul Santa,,,7.1,,"Comedy, Romance",2021,A shopping mall Santa Claus is the disguise of a businessman that got into trouble with mob's money.,Terri J. Vaughn,"Hollis Kempain Abram, Adrian Alvarado, Alex Barber, Gina Barber, ",113,,"https://m.media-amazon.com/images/M/MV5BMTc3OGNjMzgtZDU2ZC00ZjdmLWIyZDQtMTk4MTBjYzE3ZTFiXkEyXkFqcGdeQXVyMTg1MzYyMg@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
Stealing Christmas,TV-PG,89,5.7,,"Comedy, Crime, Drama",2003,"Jack Clayton can only escape after his partner in crime Harry Zordich messes up a Christmas sales department store robbery in a Santa suit. Stuck in a rural small town, he finds himself ...                See full summary »",Gregg Champion,"Tony Danza, Lea Thompson, Angela Goethals, Betty White, ",947,,"https://m.media-amazon.com/images/M/MV5BMTIzOTI1NTk5M15BMl5BanBnXkFtZTcwMjIyNTYyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
Christmas with a Capital C,,81,4.3,,"Comedy, Drama, Family",2011,An attorney returns to his small home town in Alaska and quickly rocks the boat by getting an injunction against the nativity display tradition and attacking Christmas.,Helmut Schleppi,"Ted McGinley, Brad Stine, Nancy Stafford, Daniel Baldwin, ","1,070",,"https://m.media-amazon.com/images/M/MV5BMTU4NDIzNTgwNV5BMl5BanBnXkFtZTcwMTI5MTUxNw@@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
Staging Christmas,TV-G,85,5.5,,"Drama, Family, Romance",2019,A home stager looking to land a promotion offers to plan the company Christmas party in order to sway the boss' decision her way.,Amy Barrett,"Soleil Moon Frye, George Stults, Jaleel White, Mia Clark, ",520,,"https://m.media-amazon.com/images/M/MV5BNjE2MTQ3NzUtMTY0My00MDVmLTk0MTctMzFmYmNjOWU5ZmZiXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Love's Christmas Journey,TV-G,171,6.3,,"Drama, Family, Romance",2011,"While mourning the loss of her husband and daughter, recently widowed Ellie King (Natalie Hall) visits her brother Aaron Davis (Greg Vaughan) and his children for Christmas. Ellie does her ...                See full summary »",David S. Cass Sr.,"Natalie Hall, JoBeth Williams, Greg Vaughan, Dylan Bruce, ",772,,"https://m.media-amazon.com/images/M/MV5BMGNmMmM2YWEtMjJiNS00MGEwLTgyNjQtNWZmZGQxMzY5NTUwXkEyXkFqcGdeQXVyMjAzMjcxNTE@._V1_UY209_CR4,0,140,209_AL_.jpg",Movie
The National Tree,TV-G,88,5.8,,Drama,2009,A teenager has his Sitka Spruce tree chosen to be planted outside the White House as the new national Christmas Tree.,Graeme Campbell,"Andrew McCarthy, Evan Williams, Kari Matchett, Paula Brancati, ",587,,"https://m.media-amazon.com/images/M/MV5BMTczMDY3Nzk1OF5BMl5BanBnXkFtZTcwNjA4ODAwMw@@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie
The Man Who Saved Christmas,TV-PG,100,6.5,,"Biography, Drama, Family",2002,A.C. Gilbert figures out a way to keep Christmas alive after the war threatens to take it away in his name.,Sturla Gunnarsson,"Jason Alexander, Kelly Rowan, Ari Cohen, C. David Johnson, ",535,,"https://m.media-amazon.com/images/M/MV5BMjI0Nzg5ODQxMl5BMl5BanBnXkFtZTcwMTczNTA2Mw@@._V1_UY209_CR34,0,140,209_AL_.jpg",Movie
Entertaining Christmas,TV-G,85,6.1,,"Comedy, Romance",2018,Candace has never lived up to her mom's standards. She's sent in her place to plan a Christmas party.,Robin Dunne,"Jodie Sweetin, Brendan Fehr, Jane Moffat, Ana Araujo, ","1,046",,"https://m.media-amazon.com/images/M/MV5BN2VjYjdmZTktNmZlYy00NTJlLWE1NDktNGMxMWFkYWU3NTM1XkEyXkFqcGdeQXVyNDM5NDkyODg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Sisterly Christmas,TV-PG,83,5.6,,"Drama, Romance",2021,"Two sisters receive an early Christmas gift, an inheritance that takes them on a luxury holiday vacation. They run into their childhood rival, who digs in on these sisters, testing their resolve as women and their bonds of sisterhood.",Jerry LaMothe,"Deborah Joy Winans, Lisa Michelle Cornelius, Neil Whitely, Miguel Anthony, ",147,,"https://m.media-amazon.com/images/M/MV5BMWIyYzgxZTUtYWJmZS00MGI3LWIzYTktYTlmNWNjMzgzYmM1XkEyXkFqcGdeQXVyMjIzOTA2NDk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Always and Forever Christmas,TV-G,87,5.4,,"Comedy, Drama, Family",2019,A marketing executive makes a trip back home to sell the Christmas gift shop she inherited from her grandfather.,Siobhan Devine,"Lexi Lawson, Mark Ghanimé, Beth Broderick, Cardi Wong, ",486,,"https://m.media-amazon.com/images/M/MV5BNjMyMDIxNzktZGNlYi00NGE4LTk1YTMtOWVhYjgwZDQxNjJlXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UY209_CR8,0,140,209_AL_.jpg",Movie
A Cheerful Christmas,TV-G,83,4.9,,"Drama, Romance",2019,A woman and her best friend think they landed the job of their dreams by giving people a great Christmas until they get a client who doesn't feel the same way.,Marita Grabiak,"Erica Deutschman, Chad Connell, Jennifer Vallance, Tianna Nori, ","1,010",,"https://m.media-amazon.com/images/M/MV5BNTAxODFmM2ItNjhmOS00OTVjLWI1YTgtMzk0NGU1Y2FmYzQwXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
All I Want Is Christmas,TV-PG,100,5.4,,"Comedy, Family",2012,"A Christmas obsessed Jewish boy on his way to sunny Florida figures out how to get the Christmas of his dreams by trading airline tickets and places with another boy on his way to snowy Christmastown, WA.",Sue Corcoran,"Elliott Gould, David DeLuise, Elijah Nelson, Justin Thomas Howell, ",580,,"https://m.media-amazon.com/images/M/MV5BNDQ0OTYyNjA0N15BMl5BanBnXkFtZTgwOTk3NjkzMDE@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie
Christmas on the Vine,TV-PG,87,6.1,,"Drama, Romance",2020,A young marketing executive is assigned to help a struggling family-owned winery in a town that has lost its Christmas spirit due to a large wine conglomerate.,Paul A. Kaufman,"Julianna Guill, Jon Cor, Meredith Baxter, Chilton Crane, ",558,,"https://m.media-amazon.com/images/M/MV5BMDM4NzNjOGQtYTNiOC00YjU4LWJmZWUtYTQxOGRmMjQwM2E5XkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
Jingle Belle,TV-PG,86,5.9,,"Drama, Music, Romance",2018,A successful jingle writer is cajoled into returning to her hometown to write a song for the 50th anniversary of the annual Christmas Eve concert.,Peter Sullivan,"Tatyana Ali, Cornelius Smith Jr., Loretta Devine, Keshia Knight Pulliam, ",557,,"https://m.media-amazon.com/images/M/MV5BOGQ2MjZkNjYtNWIxYy00Y2VhLWEyZTEtOWY2MzgxZTNjMzNiXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR10,0,140,209_AL_.jpg",Movie
Reunited at Christmas,TV-G,85,6.2,,"Drama, Romance",2018,"Tasked with penning a Christmas novel, a successful writer returns to her late grandmother's home for a family reunion during the holiday season.",Steven R. Monroe,"Nikki Deloach, Mike Faiola, Eileen Pedde, Andrew Airlie, ","1,140",,"https://m.media-amazon.com/images/M/MV5BNmIzZTA5MzItMjU1OS00MTk5LTllNWMtMTU0N2E4Yjk0M2M2XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie
A Golden Christmas 3,Not Rated,88,5.6,,"Comedy, Family, Romance",2012,"Heather is a charming, free spirit, and Bobby is a naval officer home from serving overseas. Thanks to a fun-filled theater production of ""A Christmas Carol,"" these two unlucky-in-love childhood friends may fall in love.",Michael Feifer,"Shantel VanSanten, Rob Mayes, Orson Bean, Nikki Deloach, ",847,,"https://m.media-amazon.com/images/M/MV5BNzg2NjE3NDAwN15BMl5BanBnXkFtZTcwNjM0MDI1OQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie
